i,j
97,120
98,120
99,120
100,120
101,120
102,120
103,120
104,120
93,119
94,119
95,119
96,119
97,119
100,119
101,119
102,119
103,119
105,119
107,119
108,119
91,118
92,118
93,118
94,118
96,118
97,118
99,118
100,118
101,118
102,118
103,118
104,118
105,118
106,118
107,118
108,118
109,118
110,118
90,117
92,117
93,117
95,117
96,117
97,117
98,117
99,117
100,117
102,117
103,117
104,117
105,117
106,117
107,117
110,117
111,117
88,116
91,116
92,116
94,116
95,116
97,116
99,116
100,116
101,116
102,116
103,116
104,116
105,116
107,116
108,116
109,116
110,116
111,116
112,116
113,116
87,115
88,115
89,115
90,115
91,115
92,115
93,115
94,115
95,115
96,115
97,115
99,115
101,115
102,115
105,115
106,115
107,115
108,115
111,115
113,115
114,115
86,114
87,114
88,114
89,114
90,114
91,114
92,114
93,114
95,114
96,114
97,114
98,114
99,114
100,114
102,114
103,114
104,114
105,114
106,114
107,114
108,114
111,114
114,114
115,114
85,113
86,113
87,113
88,113
90,113
91,113
92,113
93,113
94,113
95,113
96,113
97,113
98,113
99,113
100,113
101,113
102,113
103,113
105,113
107,113
109,113
110,113
111,113
114,113
115,113
116,113
85,112
87,112
88,112
89,112
90,112
91,112
92,112
93,112
94,112
95,112
96,112
97,112
98,112
99,112
100,112
101,112
102,112
103,112
104,112
106,112
109,112
110,112
111,112
113,112
114,112
115,112
116,112
85,111
87,111
88,111
89,111
90,111
91,111
92,111
93,111
95,111
98,111
100,111
101,111
102,111
103,111
104,111
105,111
106,111
108,111
110,111
111,111
112,111
114,111
115,111
117,111
83,110
84,110
85,110
87,110
89,110
90,110
91,110
93,110
94,110
98,110
99,110
100,110
101,110
104,110
105,110
106,110
109,110
110,110
112,110
113,110
114,110
115,110
117,110
118,110
83,109
85,109
86,109
87,109
88,109
90,109
91,109
92,109
93,109
94,109
95,109
96,109
97,109
98,109
99,109
100,109
101,109
102,109
104,109
105,109
106,109
107,109
109,109
110,109
111,109
112,109
113,109
114,109
115,109
116,109
117,109
118,109
82,108
83,108
84,108
85,108
86,108
88,108
90,108
91,108
92,108
93,108
94,108
95,108
96,108
97,108
100,108
101,108
102,108
103,108
104,108
105,108
106,108
107,108
108,108
110,108
111,108
112,108
113,108
114,108
115,108
116,108
117,108
118,108
119,108
82,107
83,107
84,107
85,107
86,107
87,107
88,107
89,107
90,107
91,107
93,107
94,107
95,107
96,107
97,107
98,107
100,107
101,107
102,107
103,107
104,107
105,107
107,107
108,107
109,107
110,107
111,107
112,107
113,107
114,107
115,107
116,107
118,107
119,107
82,106
83,106
84,106
85,106
86,106
88,106
89,106
90,106
91,106
93,106
94,106
96,106
98,106
100,106
101,106
102,106
103,106
104,106
105,106
106,106
107,106
109,106
110,106
111,106
112,106
113,106
115,106
116,106
117,106
118,106
119,106
82,105
83,105
84,105
85,105
86,105
88,105
89,105
91,105
92,105
93,105
94,105
95,105
99,105
103,105
104,105
105,105
106,105
107,105
108,105
110,105
111,105
112,105
113,105
116,105
117,105
118,105
119,105
81,104
83,104
85,104
86,104
87,104
88,104
89,104
90,104
92,104
94,104
95,104
96,104
97,104
98,104
