r,u
4.738095238095238,0.95282211449548
9.476190476190476,0.9690333240823817
14.214285714285714,0.9903111274527145
18.952380952380953,0.9674466375963703
23.69047619047619,0.9652522839454989
28.428571428571427,0.9206746800589051
33.166666666666664,0.9067188741340715
37.904761904761905,0.8676636380124468
42.642857142857146,0.766561404928661
47.38095238095238,0.6814304960912111
52.11904761904762,0.5731044068912323
56.857142857142854,0.44054460368837917
61.595238095238095,0.30868033573530246
66.33333333333333,0.19050665700811562
71.07142857142857,0.11253157731541455
75.80952380952381,0.05541205797385145
80.54761904761905,0.02547905455879436
85.28571428571429,0.010358699603592548
90.02380952380952,0.003743996162572679
94.76190476190476,0.0012615585841343434
99.5,0.0004806993100859172
