i,j
107,92
109,92
110,92
111,92
112,92
113,92
114,92
115,92
116,92
117,92
118,92
83,91
84,91
85,91
87,91
88,91
89,91
90,91
91,91
92,91
93,91
94,91
95,91
97,91
98,91
99,91
100,91
101,91
102,91
103,91
104,91
105,91
106,91
107,91
108,91
109,91
110,91
111,91
113,91
114,91
115,91
116,91
117,91
118,91
84,90
85,90
86,90
87,90
88,90
89,90
90,90
91,90
92,90
94,90
95,90
98,90
99,90
102,90
103,90
105,90
107,90
108,90
109,90
110,90
111,90
112,90
113,90
115,90
116,90
117,90
86,89
87,89
88,89
90,89
91,89
92,89
93,89
94,89
95,89
96,89
97,89
99,89
101,89
103,89
104,89
105,89
106,89
107,89
108,89
109,89
110,89
111,89
112,89
113,89
114,89
115,89
85,88
86,88
88,88
90,88
92,88
93,88
94,88
95,88
96,88
97,88
98,88
100,88
102,88
103,88
104,88
105,88
106,88
107,88
108,88
109,88
110,88
111,88
112,88
113,88
116,88
87,87
88,87
89,87
90,87
91,87
92,87
93,87
94,87
95,87
96,87
97,87
99,87
100,87
101,87
103,87
104,87
105,87
106,87
107,87
108,87
109,87
110,87
111,87
112,87
113,87
114,87
115,87
87,86
89,86
90,86
91,86
92,86
93,86
95,86
96,86
97,86
98,86
99,86
100,86
101,86
102,86
103,86
104,86
105,86
107,86
108,86
109,86
110,86
111,86
112,86
113,86
89,85
90,85
91,85
92,85
93,85
94,85
95,85
97,85
98,85
99,85
100,85
102,85
103,85
104,85
105,85
108,85
109,85
110,85
111,85
112,85
90,84
91,84
93,84
94,84
95,84
96,84
97,84
98,84
100,84
101,84
102,84
103,84
104,84
105,84
107,84
110,84
111,84
91,83
92,83
93,83
94,83
95,83
96,83
97,83
98,83
99,83
100,83
101,83
102,83
103,83
105,83
107,83
108,83
110,83
93,82
94,82
95,82
96,82
97,82
98,82
99,82
100,82
101,82
102,82
103,82
105,82
106,82
107,82
108,82
97,81
99,81
101,81
102,81
104,81
