i,j
81,99
82,99
84,99
87,99
88,99
89,99
92,99
93,99
94,99
95,99
97,99
98,99
99,99
100,99
101,99
102,99
103,99
104,99
106,99
107,99
108,99
109,99
110,99
111,99
112,99
113,99
114,99
116,99
117,99
119,99
121,99
122,99
124,99
131,99
69,98
74,98
77,98
80,98
81,98
86,98
88,98
89,98
90,98
91,98
92,98
93,98
94,98
95,98
96,98
97,98
98,98
99,98
100,98
101,98
102,98
103,98
104,98
105,98
106,98
107,98
108,98
109,98
110,98
112,98
114,98
115,98
116,98
117,98
119,98
121,98
122,98
125,98
135,98
76,97
81,97
83,97
84,97
85,97
86,97
88,97
90,97
91,97
92,97
93,97
95,97
96,97
97,97
98,97
99,97
100,97
101,97
103,97
104,97
107,97
108,97
109,97
110,97
111,97
112,97
113,97
115,97
116,97
118,97
119,97
124,97
125,97
126,97
135,97
75,96
76,96
81,96
83,96
84,96
86,96
87,96
88,96
90,96
91,96
92,96
94,96
96,96
98,96
99,96
100,96
101,96
103,96
104,96
105,96
106,96
107,96
109,96
110,96
111,96
112,96
113,96
115,96
117,96
118,96
119,96
121,96
123,96
127,96
128,96
76,95
81,95
82,95
83,95
88,95
89,95
90,95
92,95
93,95
94,95
95,95
96,95
97,95
98,95
99,95
100,95
101,95
102,95
104,95
105,95
106,95
107,95
108,95
109,95
110,95
111,95
112,95
113,95
114,95
116,95
117,95
121,95
123,95
124,95
126,95
127,95
129,95
69,94
77,94
81,94
82,94
83,94
84,94
85,94
87,94
90,94
91,94
92,94
93,94
94,94
95,94
96,94
98,94
100,94
101,94
102,94
103,94
104,94
105,94
106,94
107,94
108,94
109,94
111,94
112,94
113,94
115,94
116,94
117,94
118,94
119,94
120,94
121,94
126,94
75,93
79,93
84,93
87,93
88,93
89,93
90,93
91,93
92,93
93,93
95,93
96,93
97,93
98,93
100,93
101,93
102,93
103,93
104,93
105,93
106,93
107,93
109,93
110,93
111,93
112,93
113,93
117,93
118,93
128,93
66,92
70,92
74,92
75,92
76,92
78,92
81,92
84,92
85,92
86,92
88,92
89,92
90,92
91,92
92,92
93,92
94,92
95,92
96,92
97,92
98,92
99,92
100,92
101,92
102,92
103,92
104,92
105,92
106,92
107,92
109,92
110,92
111,92
112,92
114,92
116,92
124,92
67,91
74,91
80,91
82,91
83,91
85,91
87,91
88,91
89,91
90,91
92,91
93,91
94,91
95,91
96,91
97,91
98,91
99,91
100,91
101,91
103,91
104,91
105,91
106,91
107,91
109,91
110,91
111,91
117,91
118,91
120,91
124,91
88,90
90,90
91,90
92,90
93,90
94,90
95,90
97,90
98,90
99,90
100,90
101,90
102,90
103,90
104,90
105,90
106,90
107,90
110,90
111,90
112,90
113,90
115,90
116,90
117,90
124,90
66,89
74,89
78,89
80,89
83,89
85,89
86,89
88,89
89,89
90,89
91,89
92,89
93,89
94,89
95,89
96,89
97,89
98,89
99,89
101,89
102,89
103,89
104,89
105,89
107,89
109,89
111,89
112,89
113,89
114,89
116,89
118,89
120,89
123,89
125,89
127,89
71,88
78,88
79,88
84,88
86,88
87,88
88,88
89,88
91,88
92,88
93,88
94,88
97,88
98,88
100,88
101,88
102,88
103,88
104,88
105,88
106,88
108,88
109,88
110,88
111,88
112,88
113,88
114,88
115,88
117,88
119,88
71,87
84,87
85,87
86,87
87,87
89,87
90,87
91,87
92,87
93,87
94,87
95,87
96,87
97,87
98,87
100,87
101,87
102,87
105,87
106,87
108,87
109,87
110,87
111,87
117,87
118,87
119,87
122,87
129,87
131,87
81,86
82,86
83,86
87,86
90,86
91,86
92,86
93,86
94,86
96,86
97,86
99,86
100,86
102,86
103,86
106,86
107,86
108,86
111,86
112,86
114,86
118,86
123,86
128,86
77,85
81,85
83,85
86,85
87,85
88,85
89,85
90,85
91,85
92,85
93,85
94,85
96,85
98,85
99,85
101,85
102,85
103,85
104,85
105,85
108,85
109,85
110,85
113,85
117,85
121,85
122,85
78,84
79,84
85,84
87,84
88,84
89,84
90,84
92,84
95,84
96,84
98,84
99,84
100,84
101,84
103,84
104,84
105,84
106,84
108,84
109,84
112,84
114,84
116,84
121,84
125,84
127,84
80,83
81,83
84,83
85,83
88,83
92,83
93,83
94,83
95,83
97,83
100,83
101,83
103,83
104,83
105,83
106,83
107,83
110,83
111,83
112,83
115,83
116,83
117,83
122,83
128,83
81,82
84,82
87,82
89,82
91,82
92,82
93,82
95,82
96,82
97,82
102,82
103,82
107,82
111,82
75,81
83,81
84,81
85,81
88,81
92,81
94,81
95,81
96,81
98,81
99,81
101,81
102,81
103,81
107,81
109,81
110,81
112,81
118,81
119,81
120,81
78,80
84,80
87,80
88,80
89,80
90,80
91,80
92,80
96,80
97,80
98,80
99,80
100,80
102,80
104,80
105,80
106,80
109,80
130,80
90,79
94,79
95,79
96,79
97,79
98,79
102,79
104,79
105,79
107,79
115,79
116,79
