i,j
99,20
109,20
111,20
111,20
111,20
111,20
114,20
114,20
115,20
116,20
116,20
116,20
117,20
117,20
119,20
119,20
119,20
121,20
124,20
124,20
124,20
124,20
124,20
124,20
129,20
129,20
130,20
131,20
131,20
131,20
135,20
135,20
135,20
138,20
139,20
139,20
141,20
141,20
143,20
148,20
98,19
103,19
103,19
105,19
105,19
106,19
108,19
109,19
109,19
109,19
109,19
112,19
113,19
113,19
115,19
117,19
117,19
117,19
117,19
117,19
120,19
121,19
121,19
121,19
123,19
123,19
123,19
123,19
128,19
128,19
128,19
128,19
131,19
133,19
135,19
135,19
135,19
138,19
138,19
138,19
138,19
140,19
140,19
141,19
141,19
141,19
141,19
141,19
144,19
144,19
144,19
144,19
148,19
149,19
150,19
150,19
150,19
153,19
100,18
102,18
105,18
108,18
108,18
108,18
109,18
111,18
111,18
112,18
112,18
114,18
114,18
118,18
119,18
119,18
119,18
119,18
122,18
122,18
122,18
125,18
125,18
126,18
126,18
127,18
127,18
131,18
137,18
137,18
139,18
139,18
142,18
143,18
144,18
145,18
151,18
103,17
107,17
107,17
107,17
114,17
114,17
114,17
116,17
116,17
116,17
116,17
116,17
116,17
117,17
118,17
118,17
119,17
119,17
120,17
122,17
124,17
124,17
125,17
125,17
127,17
127,17
127,17
128,17
130,17
130,17
136,17
136,17
137,17
140,17
140,17
140,17
143,17
150,17
155,17
156,17
156,17
95,16
98,16
98,16
98,16
100,16
105,16
105,16
106,16
106,16
106,16
108,16
108,16
109,16
109,16
109,16
110,16
112,16
113,16
113,16
116,16
116,16
117,16
121,16
121,16
123,16
123,16
126,16
126,16
126,16
126,16
129,16
129,16
129,16
129,16
129,16
129,16
129,16
129,16
130,16
131,16
131,16
131,16
131,16
132,16
132,16
133,16
135,16
135,16
135,16
136,16
136,16
136,16
136,16
136,16
139,16
141,16
141,16
141,16
145,16
145,16
145,16
155,16
155,16
157,16
101,15
102,15
103,15
105,15
109,15
109,15
109,15
109,15
109,15
110,15
111,15
112,15
112,15
115,15
116,15
118,15
122,15
122,15
122,15
122,15
124,15
124,15
125,15
126,15
126,15
126,15
127,15
127,15
127,15
127,15
129,15
129,15
130,15
130,15
130,15
130,15
134,15
134,15
134,15
134,15
134,15
137,15
139,15
139,15
139,15
139,15
139,15
142,15
143,15
143,15
146,15
147,15
147,15
147,15
148,15
149,15
150,15
150,15
156,15
160,15
160,15
98,14
103,14
103,14
103,14
104,14
107,14
108,14
116,14
116,14
116,14
116,14
120,14
120,14
120,14
122,14
122,14
122,14
123,14
123,14
124,14
124,14
124,14
125,14
126,14
126,14
126,14
127,14
127,14
127,14
129,14
131,14
132,14
134,14
134,14
135,14
136,14
141,14
141,14
142,14
142,14
142,14
149,14
149,14
151,14
156,14
102,13
103,13
105,13
106,13
106,13
108,13
108,13
108,13
111,13
115,13
115,13
115,13
117,13
117,13
120,13
121,13
122,13
127,13
127,13
128,13
128,13
129,13
129,13
131,13
131,13
131,13
131,13
131,13
133,13
133,13
133,13
133,13
134,13
137,13
137,13
137,13
137,13
137,13
137,13
137,13
137,13
138,13
138,13
139,13
140,13
140,13
141,13
147,13
149,13
151,13
100,12
100,12
104,12
106,12
107,12
107,12
107,12
108,12
110,12
112,12
112,12
113,12
113,12
114,12
115,12
118,12
118,12
118,12
118,12
120,12
120,12
120,12
122,12
123,12
124,12
124,12
127,12
127,12
127,12
127,12
127,12
128,12
128,12
128,12
128,12
131,12
132,12
132,12
135,12
135,12
135,12
136,12
137,12
137,12
143,12
147,12
147,12
147,12
147,12
99,11
106,11
106,11
108,11
109,11
112,11
112,11
121,11
123,11
124,11
124,11
124,11
124,11
126,11
126,11
126,11
126,11
127,11
127,11
127,11
127,11
127,11
130,11
130,11
130,11
130,11
130,11
137,11
137,11
139,11
139,11
139,11
141,11
141,11
141,11
141,11
141,11
141,11
141,11
141,11
141,11
141,11
142,11
145,11
145,11
146,11
148,11
93,10
93,10
101,10
107,10
107,10
108,10
108,10
110,10
110,10
110,10
110,10
111,10
111,10
112,10
113,10
114,10
114,10
115,10
115,10
115,10
116,10
117,10
117,10
117,10
118,10
120,10
122,10
125,10
125,10
125,10
125,10
127,10
132,10
132,10
132,10
134,10
134,10
135,10
136,10
137,10
137,10
138,10
138,10
138,10
138,10
139,10
142,10
146,10
146,10
146,10
149,10
100,9
104,9
109,9
110,9
110,9
112,9
115,9
118,9
118,9
119,9
119,9
119,9
119,9
120,9
120,9
122,9
124,9
124,9
128,9
129,9
130,9
130,9
131,9
133,9
133,9
133,9
135,9
136,9
136,9
141,9
142,9
144,9
149,9
153,9
93,8
99,8
101,8
104,8
104,8
104,8
107,8
110,8
111,8
111,8
111,8
111,8
114,8
114,8
114,8
114,8
114,8
116,8
116,8
116,8
117,8
117,8
117,8
118,8
118,8
120,8
121,8
121,8
123,8
125,8
125,8
125,8
126,8
127,8
128,8
129,8
131,8
131,8
131,8
134,8
134,8
135,8
136,8
136,8
137,8
137,8
139,8
142,8
142,8
143,8
143,8
143,8
147,8
147,8
153,8
100,7
104,7
109,7
111,7
113,7
116,7
116,7
119,7
120,7
120,7
121,7
123,7
127,7
128,7
129,7
129,7
129,7
130,7
131,7
137,7
139,7
139,7
139,7
139,7
139,7
139,7
139,7
141,7
141,7
141,7
141,7
141,7
141,7
143,7
152,7
159,7
96,6
101,6
105,6
106,6
110,6
110,6
114,6
114,6
114,6
114,6
114,6
115,6
115,6
115,6
118,6
118,6
118,6
120,6
120,6
120,6
122,6
122,6
122,6
123,6
123,6
123,6
123,6
126,6
126,6
126,6
126,6
126,6
128,6
131,6
131,6
132,6
140,6
145,6
145,6
145,6
154,6
90,5
100,5
104,5
106,5
106,5
106,5
109,5
109,5
112,5
113,5
115,5
115,5
115,5
116,5
117,5
117,5
117,5
117,5
117,5
118,5
119,5
119,5
121,5
121,5
121,5
121,5
126,5
126,5
126,5
126,5
126,5
126,5
128,5
133,5
133,5
133,5
133,5
133,5
133,5
135,5
136,5
136,5
137,5
137,5
137,5
141,5
141,5
141,5
143,5
143,5
146,5
146,5
146,5
146,5
146,5
147,5
147,5
149,5
152,5
160,5
103,4
103,4
106,4
108,4
108,4
110,4
112,4
112,4
112,4
112,4
112,4
112,4
112,4
112,4
113,4
113,4
113,4
113,4
118,4
120,4
120,4
120,4
120,4
120,4
120,4
122,4
122,4
123,4
124,4
124,4
125,4
127,4
127,4
127,4
128,4
129,4
132,4
134,4
134,4
134,4
134,4
134,4
136,4
136,4
136,4
137,4
140,4
140,4
140,4
142,4
145,4
145,4
150,4
91,3
97,3
97,3
99,3
105,3
106,3
108,3
108,3
109,3
111,3
113,3
113,3
114,3
114,3
115,3
115,3
115,3
115,3
118,3
118,3
121,3
122,3
122,3
122,3
124,3
126,3
126,3
126,3
130,3
131,3
132,3
133,3
133,3
134,3
137,3
138,3
139,3
143,3
147,3
147,3
148,3
148,3
152,3
156,3
104,2
108,2
108,2
108,2
108,2
109,2
109,2
112,2
113,2
113,2
113,2
114,2
114,2
115,2
115,2
116,2
117,2
117,2
119,2
119,2
119,2
122,2
122,2
122,2
127,2
129,2
129,2
129,2
129,2
130,2
130,2
130,2
130,2
130,2
132,2
133,2
133,2
133,2
136,2
136,2
136,2
136,2
138,2
139,2
141,2
142,2
142,2
142,2
143,2
144,2
147,2
147,2
147,2
149,2
149,2
97,1
101,1
101,1
102,1
104,1
104,1
105,1
108,1
108,1
108,1
111,1
111,1
111,1
111,1
111,1
111,1
113,1
114,1
115,1
115,1
115,1
118,1
118,1
118,1
118,1
118,1
118,1
121,1
121,1
121,1
122,1
122,1
123,1
123,1
124,1
126,1
127,1
130,1
131,1
133,1
133,1
134,1
134,1
135,1
136,1
137,1
138,1
138,1
139,1
140,1
140,1
140,1
140,1
145,1
145,1
149,1
