a,b
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.875085908752069e-16,9.375427838398842e-17
1.875085908752069e-16,9.375427838398842e-17
1.875085908752069e-16,9.375427838398842e-17
3.750171817504138e-16,1.8750855676797685e-16
5.625257726256207e-16,2.812628351519652e-16
9.375429543760348e-16,4.687713919199422e-16
1.3125601361264486e-15,6.562799486879189e-16
2.0625944996272765e-15,1.0312970622238728e-15
3.1876460448785174e-15,1.593822732527803e-15
4.687714771880173e-15,2.3438569595997102e-15
6.937817862382655e-15,3.468908300207571e-15
1.0500481089011588e-14,5.250239589503351e-15
1.5563213042642174e-14,7.781605105871038e-15
2.306355667765045e-14,1.1531776241230575e-14
3.393905494841245e-14,1.6969524387501903e-14
5.006479376368024e-14,2.5032392328524907e-14
7.350336762308111e-14,3.675167712652346e-14
1.0781743975324398e-13,5.390871007079334e-14
1.5769472492604903e-13,7.884734812093427e-14
2.3007304100387885e-13,1.1503649957715377e-13
3.3470283471224437e-13,1.6735138691541934e-13
