i,j
81,20
87,20
88,20
93,20
94,20
98,20
110,20
111,20
96,19
100,19
118,19
120,19
84,18
87,18
89,18
90,18
93,18
98,18
99,18
103,18
107,18
83,17
84,17
93,17
96,17
97,17
99,17
105,17
106,17
110,17
112,17
116,17
82,16
84,16
85,16
90,16
90,16
99,16
105,16
120,16
83,15
87,15
98,15
101,15
103,15
106,15
108,15
115,15
83,14
91,14
92,14
96,14
108,14
113,14
114,14
118,14
119,14
83,13
109,13
112,13
117,13
85,12
86,12
86,12
95,12
101,12
104,12
109,12
115,12
115,12
119,12
92,11
95,11
97,11
102,11
103,11
107,11
108,11
109,11
112,11
115,11
84,10
89,10
100,10
101,10
114,10
116,10
89,9
100,9
101,9
108,9
117,9
120,9
85,8
91,8
91,8
92,8
94,8
94,8
102,8
104,8
106,8
118,8
118,8
119,8
119,8
120,8
90,7
102,7
104,7
110,7
111,7
116,7
116,7
93,6
94,6
98,6
106,6
114,6
117,6
86,5
104,5
107,5
107,5
111,5
113,5
82,4
87,4
88,4
97,4
102,4
110,4
113,4
117,4
81,3
81,3
81,3
82,3
88,3
88,3
95,3
96,3
109,3
114,3
85,2
91,2
92,2
99,2
100,2
103,2
105,2
105,2
113,2
82,1
86,1
89,1
95,1
97,1
111,1
112,1
