i,j
113,20
119,20
120,20
128,20
129,20
129,20
130,20
133,20
134,20
135,20
136,20
136,20
137,20
137,20
137,20
137,20
137,20
137,20
138,20
138,20
138,20
140,20
140,20
141,20
141,20
144,20
144,20
144,20
144,20
144,20
145,20
147,20
147,20
147,20
148,20
148,20
148,20
150,20
151,20
151,20
152,20
152,20
152,20
152,20
153,20
153,20
153,20
153,20
156,20
157,20
160,20
162,20
162,20
162,20
162,20
166,20
166,20
167,20
167,20
169,20
169,20
170,20
171,20
171,20
172,20
172,20
172,20
182,20
182,20
188,20
114,19
116,19
117,19
117,19
119,19
119,19
126,19
130,19
132,19
136,19
138,19
140,19
140,19
142,19
143,19
143,19
143,19
145,19
145,19
145,19
146,19
146,19
146,19
147,19
149,19
149,19
149,19
151,19
153,19
153,19
153,19
153,19
155,19
157,19
157,19
157,19
157,19
157,19
157,19
157,19
157,19
157,19
157,19
158,19
158,19
159,19
159,19
159,19
159,19
159,19
159,19
161,19
161,19
161,19
162,19
162,19
162,19
162,19
162,19
162,19
164,19
165,19
165,19
168,19
175,19
176,19
177,19
178,19
180,19
188,19
190,19
108,18
115,18
122,18
122,18
130,18
131,18
131,18
132,18
132,18
133,18
135,18
135,18
137,18
137,18
137,18
137,18
139,18
139,18
139,18
139,18
141,18
142,18
142,18
142,18
142,18
142,18
143,18
146,18
149,18
149,18
149,18
149,18
151,18
152,18
152,18
152,18
152,18
153,18
153,18
154,18
154,18
156,18
158,18
158,18
160,18
160,18
161,18
162,18
162,18
162,18
162,18
164,18
164,18
164,18
164,18
164,18
164,18
164,18
166,18
166,18
167,18
167,18
169,18
169,18
169,18
169,18
170,18
170,18
171,18
171,18
173,18
173,18
174,18
176,18
176,18
180,18
189,18
114,17
130,17
133,17
133,17
133,17
135,17
135,17
136,17
136,17
138,17
141,17
141,17
143,17
143,17
143,17
143,17
145,17
145,17
145,17
145,17
145,17
145,17
147,17
148,17
148,17
149,17
149,17
149,17
149,17
149,17
149,17
150,17
150,17
151,17
151,17
152,17
153,17
157,17
158,17
158,17
159,17
159,17
160,17
160,17
160,17
161,17
161,17
162,17
163,17
163,17
163,17
164,17
164,17
165,17
165,17
165,17
165,17
166,17
169,17
169,17
172,17
172,17
173,17
174,17
125,16
125,16
129,16
129,16
130,16
132,16
132,16
134,16
135,16
137,16
137,16
137,16
137,16
137,16
139,16
139,16
140,16
140,16
141,16
141,16
142,16
142,16
144,16
144,16
144,16
144,16
144,16
144,16
146,16
146,16
146,16
150,16
152,16
153,16
153,16
155,16
155,16
155,16
155,16
155,16
155,16
155,16
155,16
157,16
161,16
164,16
164,16
164,16
167,16
168,16
170,16
170,16
170,16
171,16
172,16
172,16
173,16
177,16
179,16
179,16
179,16
114,15
123,15
123,15
123,15
125,15
128,15
128,15
128,15
130,15
131,15
131,15
131,15
131,15
131,15
133,15
134,15
134,15
134,15
136,15
138,15
138,15
139,15
139,15
141,15
141,15
143,15
143,15
143,15
144,15
144,15
145,15
145,15
148,15
148,15
148,15
148,15
150,15
150,15
150,15
150,15
152,15
152,15
152,15
152,15
152,15
156,15
156,15
156,15
156,15
156,15
159,15
159,15
159,15
160,15
162,15
163,15
163,15
165,15
167,15
167,15
169,15
169,15
170,15
170,15
170,15
170,15
173,15
173,15
174,15
177,15
179,15
179,15
183,15
183,15
188,15
113,14
121,14
122,14
124,14
128,14
128,14
132,14
132,14
132,14
132,14
132,14
134,14
135,14
136,14
137,14
137,14
137,14
137,14
138,14
138,14
140,14
140,14
140,14
142,14
142,14
142,14
142,14
142,14
144,14
144,14
144,14
144,14
145,14
145,14
148,14
148,14
148,14
148,14
148,14
148,14
148,14
148,14
148,14
152,14
152,14
152,14
152,14
152,14
152,14
153,14
154,14
154,14
154,14
155,14
155,14
157,14
160,14
160,14
160,14
160,14
160,14
160,14
160,14
161,14
164,14
164,14
164,14
164,14
165,14
166,14
166,14
168,14
170,14
176,14
177,14
179,14
118,13
121,13
122,13
125,13
125,13
126,13
126,13
129,13
129,13
132,13
132,13
133,13
136,13
137,13
139,13
139,13
139,13
141,13
141,13
142,13
142,13
143,13
143,13
143,13
143,13
145,13
145,13
145,13
145,13
145,13
145,13
145,13
147,13
147,13
148,13
148,13
152,13
154,13
154,13
154,13
154,13
158,13
162,13
162,13
162,13
162,13
162,13
162,13
162,13
162,13
165,13
165,13
165,13
165,13
165,13
167,13
167,13
167,13
167,13
167,13
167,13
169,13
172,13
172,13
177,13
177,13
179,13
179,13
179,13
180,13
182,13
130,12
133,12
134,12
136,12
136,12
136,12
138,12
140,12
143,12
144,12
144,12
146,12
147,12
147,12
148,12
148,12
149,12
149,12
149,12
149,12
150,12
150,12
150,12
151,12
151,12
151,12
153,12
154,12
154,12
154,12
154,12
154,12
154,12
156,12
156,12
156,12
156,12
157,12
157,12
158,12
158,12
158,12
158,12
158,12
158,12
158,12
158,12
158,12
159,12
159,12
161,12
163,12
164,12
164,12
164,12
164,12
164,12
166,12
166,12
166,12
167,12
168,12
168,12
168,12
170,12
170,12
176,12
176,12
178,12
188,12
127,11
127,11
127,11
129,11
129,11
129,11
129,11
129,11
131,11
131,11
131,11
135,11
136,11
136,11
136,11
138,11
138,11
138,11
139,11
139,11
141,11
142,11
143,11
144,11
144,11
144,11
144,11
146,11
146,11
146,11
149,11
150,11
152,11
152,11
152,11
152,11
152,11
153,11
153,11
156,11
156,11
156,11
156,11
156,11
159,11
160,11
160,11
160,11
160,11
161,11
162,11
164,11
164,11
164,11
168,11
169,11
170,11
171,11
171,11
171,11
174,11
174,11
177,11
177,11
177,11
178,11
114,10
114,10
117,10
121,10
122,10
125,10
126,10
130,10
131,10
134,10
137,10
138,10
138,10
138,10
140,10
140,10
141,10
141,10
144,10
145,10
145,10
145,10
146,10
147,10
147,10
147,10
147,10
147,10
147,10
150,10
150,10
150,10
150,10
151,10
153,10
153,10
154,10
154,10
154,10
156,10
158,10
158,10
160,10
160,10
160,10
160,10
162,10
164,10
165,10
167,10
169,10
170,10
172,10
173,10
175,10
175,10
178,10
180,10
126,9
129,9
129,9
131,9
134,9
136,9
137,9
139,9
139,9
141,9
141,9
141,9
141,9
142,9
142,9
144,9
144,9
144,9
144,9
145,9
145,9
148,9
148,9
149,9
151,9
