a,b
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.01
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.01
0.01,0.0
0.01,0.0
0.02,0.02
0.03,0.01
0.03,0.01
0.06,0.03
0.08,0.03
0.08,0.03
0.15000000000000002,0.05
0.16000000000000003,0.060000000000000005
0.19,0.06999999999999999
0.28,0.14
0.4800000000000001,0.17
0.5900000000000001,0.24
0.7300000000000001,0.37000000000000005
1.2500000000000002,0.36000000000000004
1.32,0.6500000000000001
1.76,0.8300000000000002
2.1,1.1300000000000001
2.4,1.3300000000000003
3.3000000000000003,1.7200000000000002
3.87,1.8900000000000001
4.83,2.4299999999999997
5.62,2.9300000000000006
6.760000000000001,3.1700000000000004
8.15,4.08
9.620000000000001,4.6899999999999995
11.010000000000002,6.24
13.370000000000001,6.7299999999999995
15.56,7.1899999999999995
18.190000000000005,8.89
19.25,9.31
21.48,10.62
23.42,12.7
27.52,13.23
29.189999999999998,14.19
32.08,15.299999999999999
34.279999999999994,17.299999999999997
39.07,19.15
40.99,19.66
41.68,20.449999999999996
44.620000000000005,21.87
47.96,23.87
50.46,25.080000000000002
53.03000000000001,26.360000000000003
54.42,27.65
55.29,27.84
56.2,28.939999999999998
58.629999999999995,29.09
59.629999999999995,30.039999999999996
61.980000000000004,31.880000000000003
61.62,29.97
65.04,30.689999999999998
61.49000000000001,30.540000000000003
61.71000000000001,32.41
64.69,31.38
63.43,31.840000000000003
65.53,30.950000000000003
63.629999999999995,32.56
61.959999999999994,32.629999999999995
61.809999999999995,31.380000000000003
65.37,33.5
60.059999999999995,30.749999999999996
61.37,29.44
60.99,30.310000000000002
58.74,28.0
56.739999999999995,28.270000000000003
56.31,27.249999999999996
52.53999999999999,27.169999999999998
51.67000000000001,24.32
48.470000000000006,24.319999999999997
45.36,24.88
46.239999999999995,23.040000000000003
42.4,20.509999999999998
41.07,19.51
36.78,19.089999999999996
33.35,16.84
32.82,15.95
28.8,13.92
27.51,14.2
23.7,12.350000000000001
22.39,10.770000000000001
20.310000000000002,9.489999999999998
16.96,8.44
14.83,7.829999999999999
13.33,6.54
11.81,5.87
9.65,5.300000000000001
8.62,4.05
7.680000000000001,3.58
6.07,3.0599999999999996
5.46,2.47
3.8499999999999996,2.2
3.78,1.75
2.73,1.4100000000000001
2.17,1.09
1.7599999999999998,0.8899999999999999
1.5300000000000002,0.7200000000000001
1.2,0.48
1.1300000000000001,0.41000000000000003
0.69,0.39
0.6100000000000001,0.29000000000000004
0.34,0.22000000000000003
0.41000000000000003,0.11
0.2,0.11
0.24000000000000002,0.09999999999999999
0.34,0.19999999999999998
